Tipo,NCM,Descricao,Valor Total
Monofasico,34011190,"ISABABY TOALHA UMEDECIDA PRIMEIRO 100DIAS (FLIP TO",8.99
Monofasico,30049099,"PERMANGANATO POT (PERMASSIM) C 10 CP",3.99
Monofasico,30043999,"BIPROSLAN C/ 01 AMP SERINGA ()",20.0
Monofasico,30049079,"MELOXICAM INJ 1,5ML UND",10.0
Monofasico,30049029,"ALGIE 150MG 10CPR LP",52.75
Monofasico,30049069,"MAXALGINA GTS FR C/ 20 ML (-)",5.0
Monofasico,30049079,"CELECOXIBE 200MG 30CPS",58.0
Monofasico,30049069,"TROPINAL C20 COM",26.25
Monofasico,30049079,"OLMESARTANA+HIROC. 40/25MG 30CPR (GERMED)",81.31
Monofasico,30043981,"PURAN T4 25MCG CX 30 COMP",16.24
Monofasico,30043220,"ESPIRONOLACTONA 25M 30C EF",22.59
Monofasico,30049024,"SOMALGIN CARDIO 100MG C 60 CP",44.86
Monofasico,33043000,"ESM IMPALA LUAR 7,5ML",4.99
Monofasico,30043939,"DICLIN 21 DRG",24.47
Monofasico,33049990,"CORRETIVO LIQUIDO NUDE VIVAI",19.99
Monofasico,30049069,"SAND BEGE CAMAL MODARE 39",94.99000000000001
Monofasico,30049099,"SIMETICONA 75MG/ML GTS 15ML AIR",10.0
Monofasico,30049069,"DIPIRONA SOL 50MG/ML 1FRX100ML GEN",16.0
Monofasico,30049099,"ALIVIUM GTS 100MG 20ML",44.16
Monofasico,30049069,"ONDANSETRONA 4MG 10CPR GEO",21.69
Monofasico,30049069,"GUARDA CHUVA INF MENINAS",29.99
Monofasico,30049069,"RIVOTRIL 2,5 MG/ML GOTAS 20ML B1-REFERENCIA",61.24
Monofasico,30049069,"CICLOPIROX OLAMINA G. LEG SOL 15 ML",23.0
Monofasico,30043999,"PROP. CLOBETASOL POM 30G NOVA QUIMICA",18.0
Monofasico,33059000,"OLEO CAP TRESEMME 060ML BRILHO LAMELAR(E)*",27.99
Monofasico,30042099,"SULF.NEOMICINA+BACITRACINA 5MG/G+250UI/G 10G UQM",14.0
Monofasico,30049029,"SONRISAL ENC C/2 COMP",5.58
Monofasico,30041012,"AMOXICILINA BIO 250MG SUSP 150ML",28.0
Monofasico,33079000,"CERA DEP DEPIL BELLA 0300G HIDROSSOLUVEL NATURAL *",22.99
Monofasico,33059000,"TON S.LINE C.EXPR.FUN PINK SHOW 100ML",40.99
Monofasico,30049029,"ARTROSIL 320MG CPS GEL 1X20-ETICO",111.91
Monofasico,30043999,"PERMESE 5+2MG ML SUS INJ 1 ML SE",27.130000000000003
Monofasico,30049079,"MELOXICAM INJ 1,5ML UND",10.0
Monofasico,33059000,"TINT KOLLESTON 30",28.99
Monofasico,30049069,"FEXOFENADINA 180MG C 10 CP",30.0
Monofasico,30045030,"BEDOZE 5MG 2AMP",44.22
Monofasico,30049062,"KAOSEC 2 MG C/4 COMP",2.0
Monofasico,30049039,"DRAMIN B6 C/10 CP",1.9900000000000002
Monofasico,30049099,"NISTATINA+OX ZINCO GMD POM 60G",18.0
Monofasico,33059000,"CR TRAT SKALA FRUTASTICA UVA 1KG",12.79
Monofasico,30049069,"DIPIRONA 500MG C 10 CP",4.0
Monofasico,30044990,"ESCOPEN 10/250MG C 10 CP",10.0
Monofasico,30049039,"CICLOBENZAPRINA.10MGX10COM EMS",14.0
Monofasico,30066000,"MICROVLAR C/63",29.12
Monofasico,30049069,"DIPIRONA 500MG C 10 CP",12.0
Monofasico,30044990,"VALERIMED 50MG CPR C/20-CI",22.0
Monofasico,33042010,"LAPIS DE OLHO PLAYBOY PRETO",6.99
Monofasico,30043939,"FORMULA",26.0
Monofasico,33072010,"DES HERBISSIMO AERO SNOW MOON 150ML",10.49
Monofasico,30044990,"BUSCOPAN COMP 20CP",25.99
Monofasico,30044990,"DORFLEX ENV. C/ 10 CRP",7.6
Monofasico,33049910,"HIDR. GOICOCHEA DIABETTEX 400GR",53.8
Monofasico,30049069,"MAXALGINA GTS FR C/ 20 ML (-)",5.0
Monofasico,30049099,"ESCITALOPRAM 10MG C 30",40.0
Monofasico,30049064,"BROMAZEPAM TEU 3MG C/30 COMP B1",20.0
Monofasico,30044990,"DORFLEX ENV. C/ 10 CRP",7.6
Monofasico,30049039,"SERTRALINA 50MG C 30 CP",50.0
Monofasico,30049099,"NENE DENT GEL C/ 10 GR",19.66
Monofasico,30066000,"CICLO 21 PONDERADO",10.0
Monofasico,30042052,"CEFALEXINA 500 MG 1 BL X 10 CPR",48.9
Monofasico,33049990,"BASILICAO",18.099999999999998
Monofasico,33049910,"BEPANTOL DERMA TQ SECO CR 30G",60.62
Monofasico,33049990,"HIPOGLOS CR PREVENTIVO ASSADURAS 40G SN",29.31
Monofasico,30049039,"FLUOXETINA 20MG C/30",30.0
Monofasico,30044990,"DORFLEX ENV. C/ 10 CRP",7.6
Monofasico,30049069,"DORALGINA C/20CP (NQO)",15.0
Monofasico,30049045,"INFRALAX 30 CPR",18.0
Monofasico,30049099,"DORIL C/6 COMP",4.0
Monofasico,30049039,"HEXOMEDINE COLUTORIO 50ML C1/AD-REFERENCIA",72.09
Monofasico,33059000,"COND 240mL DEFRIZANTE LISOS SOFT",22.99
Monofasico,30049029,"SONRISAL ENV C/ 2 COMP",5.58
Monofasico,30066000,"MAMADES",38.1
Monofasico,30042099,"SULF.NEOMICINA+BACITRACINA 5MG/G+250UI/G 10G UQM",14.0
Monofasico,33059000,"TIN MAXTON 3.0 TAG",14.49
Monofasico,33059000,"CR SKALA 1000G MAIS CACHOS COND",12.79
Monofasico,30049069,"SALBUTAMOL 2MG/5ML E 120ML",15.0
Monofasico,30049069,"OMEPRAZOL 20MG CAPS C/56 TEUTO",20.0
Monofasico,30049043,"PROCTOX pomada 20g c/1 aplicador - ( - ) 3U6429",35.0
Monofasico,30049069,"CLONAZEPAM 2MG C/30CP",24.0
Monofasico,33049990,"BEPANTOL DERMA CREME 40G",83.22
Monofasico,30049039,"BRONQTRAT INF 100ML NATULAB",18.0
Monofasico,30049029,"CETOPROFENO TEU 20MG 20ML",15.0
Monofasico,30049036,"DESCON XPE UVA 120ML+CP DOSAD",20.36
Monofasico,33051000,"SH. JOHNSONS BABY 200ML",21.99
Monofasico,33059000,"MASC CAPILAR S LINE MEU LISO 300G",32.99
Monofasico,33043000,"ACETONA 100ML IDEAL",4.59
Monofasico,30049069,"FEXOFENADINA 120MG 1 UNID",8.0
Monofasico,30049099,"EPOCLER ABACAXI C/12 FLAC 10ML",11.7
Monofasico,30049039,"VATIS 300MG C 60 CP",176.55
Monofasico,30049069,"VONAU FLASH 4MG CPR 1X10-ETICO",42.85
Monofasico,30049063,"ALBEL 400MG ALBENDAZOL C 5 CP",18.0
Monofasico,30049079,"CLOPIDOGREL RAN 75MG 28CP",27.0
Monofasico,30049059,"FORXIGA 10MG C 30COMP",153.98000000000002
Monofasico,30033939,"DIAD 1,5 MG C 1 CP",10.0
Monofasico,30049029,"SAL DE FRUTA ENO ABACAXI 100G",26.299999999999997
Monofasico,30049069,"RITALINA 10MG C/60 COMP A3",107.33
Monofasico,30049099,"DIVALCON ER 500MG 60 COMP REV C1-SIMILAR",139.78
Monofasico,30049099,"DIVALCON ER 250MG X 60CPR REV",72.51
Monofasico,30049069,"RISPERIDONA 1MG C/30 CP",24.0
Monofasico,30049079,"FLANCOX 300MG C/14 COMP",28.0
Monofasico,30042052,"CEFALEXINA 250MG 100ML GTEUT*",54.0
Monofasico,30049069,"ESOP 40MG CX 28 COMP REV",72.0
Monofasico,30042069,"OTOSYLASE COLI",16.0
Monofasico,96032100,"ESC. DENT. KESS KIDS C/PROTET",6.99
Monofasico,33051000,"Sh Tresemme Brilho Lamelar 650ml / Unilever / *(1,",31.99
Monofasico,30049069,"ANSITEC 10MG COM. C20",142.98
Monofasico,30049069,"ESPELHO PEQUENO",1.5
Monofasico,33072010,"DIPIRONA MONOIDRATADA 1G C 20 CP",20.0
Monofasico,33043000,"ESM RISQUE INCOLOR 8ML",5.99
Monofasico,33043000,"ESM RISQUE BIANCO PURISSIMO 8ML",5.99
Monofasico,33043000,"ESM RISQE RENDA 8ML",5.99
Monofasico,33043000,"ACETONA FARMAX 100 ML (DAR BAIXA NO TAG)",4.49
Monofasico,30049039,"METOPROLOL 50MG C 30 CP",40.0
Monofasico,33049990,"HIPOGLOS CR PREVENTIVO ASSADURAS 40G SN",26.4
Monofasico,30039079,"LORATADINA XPE C/ 100 ML",15.0
Monofasico,33059000,"COND DOVE 200 ML",17.99
Monofasico,30049041,"DIGEPLUS C/30 CAPS - NOVO",49.970000000000006
Monofasico,30049099,"SIMETICONA 75MG/ML GTS 15ML AIR",10.0
Monofasico,30049059,"ESC 20MG 30COMP",166.14
Monofasico,30049099,"NEOSORO SOL NASAL AD FR C/ 3 (-) NEO",8.0
Monofasico,30049069,"TENIS FEMININO VIZZANO BR/AZ 35",179.99
Monofasico,30049079,"BENICAR ANLO 40/10MG C/30 CPR",101.25
Monofasico,30049029,"CETOPROFENO 150 MG C 10 CP",30.0
Monofasico,30049039,"SELOZOK 25 MG 30 CP R ATZ",40.34
Monofasico,30049059,"CITALOPRAM RAN 20MG C/30 COMP C1",45.0
Monofasico,30049069,"TECNOMET 2,5MG CPR 1X20",76.97
Monofasico,30045090,"AFOPIC 5MG C/20 COMP",12.030000000000001
Monofasico,30049059,"ESCITALOPRAM (C1) 10MG C 30 CP",20.0
Monofasico,33059000,"TIN. BEAUTY COLOR 4.0 (TAG)",19.99
Monofasico,30049049,"GLIFAGE XR 500MG",23.34
Monofasico,33051000,"SH. JOHNSONS BABY 200ML",21.99
Monofasico,30049069,"BENEGRIP 500MG C/ 6 COMPRIMIDOS",10.790000000000001
Monofasico,30049099,"MINANCORA POMADA 30G",17.8
Monofasico,30049069,"SAND COM GLITTER DORADA VIZZANO 37",139.99
Monofasico,33049100,"TALCO TOPZ BABY 200G PATRULHA CANINA(E)",17.99
Monofasico,30049099,"BETAMETASONA+FOSF DISSODICO DE BETAMETASONA",20.0
Monofasico,30049079,"MELOXICAM INJ 1,5ML UND",10.0
Monofasico,30043290,"TRELEGY PO INALANTE + DISPOSITIVO ELLIPTA C/30 DOS",604.9499999999999
Monofasico,33051000,"SH SEDA BOMBA DE COCO",12.99
Monofasico,30049069,"DIPIRONA 500MG C 10 CP",8.0
Monofasico,33059000,"COND. JOHNSONS BABY 200 ML",24.99
Monofasico,33051000,"SH JOHNSONS CACHOS DOS SONHOS 200ML",21.99
Monofasico,30043210,"DEXAMETASONA CR 1MG C/10GR (GEO)",10.0
Monofasico,33049100,"TALCO POM POM 200G BABY",20.99
Monofasico,30049069,"NEOSALDINA C/ 4 CP",8.0
Monofasico,30049099,"GASTROL PASTILHA C 10 CP",7.0
Monofasico,30049029,"DIPIRONA MONOIDRATADA 1G 10 COMPR VITAMEDIC",15.0
Monofasico,30049069,"BILASTINA 20MG C 15 COMP EUR",42.34
Monofasico,30049099,"ROSUVASTATINA CAL 10MG CPR 1X30 GMD-GENERICO",30.0
Monofasico,30049072,"BENECTRIN SUSP. 100ML (SULFA. + TRIMETOP.)",19.0
Monofasico,30066000,"CONTRACEP INJ 1X1ML-ETICO",33.15
Monofasico,30042099,"DOXICLIN 100MG CPR C/15-PL",93.0
Monofasico,30049099,"CYLOCORT POM 3,5G-ETICO",38.63
Monofasico,30049069,"BENEGRIP 500MG C/ 6 COMPRIMIDOS",11.99
Monofasico,30049069,"BENEGRIP 500MG C/ 6 COMPRIMIDOS",11.99
Monofasico,30043939,"FORMULA",47.0
Monofasico,30049062,"KAOSEC 2 MG C/4 COMP",4.0
Monofasico,30049099,"DEPAKOTE ER 500MG C/ 60 CP",270.5
Monofasico,30049069,"LAMITOR CD 100MG X 60CPR REV",200.45
Monofasico,30049069,"PIRANHA ACRILICO COLORIDA",17.98
Monofasico,30049069,"BATOM E BLUSH LUA E NEVE",21.99
Monofasico,33072010,"DESOD AER DOVE CLINICAL CLEAN ORIG WOMAM 150ML *(",22.99
Monofasico,30049099,"ANEMIFER (SULFATO FERROSO) 40MG 50DRG (PHARM)",15.0
Monofasico,30042052,"CEFALEXINA 500 MG 1 BL X 10 CPR",36.0
Monofasico,30049039,"KIT NIMESULIDA 100MG C/ 3 UNID",10.0
Monofasico,30049069,"ANEL INFANTIL",9.99
Monofasico,30049069,"KIT PULSEIRAS INF MORANGUINHO C 4",11.99
Monofasico,30049029,"ESTOMAZIL ABACAXI",3.5
Monofasico,30049069,"BETAISTINA 24MG 30CP BIO",26.0
Monofasico,30049029,"ESTOMAZIL ABACAXI",3.5
Monofasico,30049029,"ESTOMAZIL ABACAXI",7.0
Monofasico,30049029,"SAL DE FRUTA ENO LARANJA C/2",4.65
Monofasico,33043000,"ESM DAILUS SUSPIRO 8ML",7.99
Monofasico,30049099,"LACTO-PURGA",5.0
Monofasico,33072090,"LOCAO HID. NIVEA 200ML",23.0
Monofasico,33041000,"BRILHO LABIAL INF.",19.98
Monofasico,30049069,"BRILHO LABIAL GATINHA",14.99
Monofasico,30049069,"BRILHO LABIAL SAPINHO",14.99
Monofasico,30049069,"LIP GLOS PICOLE FABELLA",16.99
Monofasico,30049069,"MAQUIAGEM INF LITLE BEAUTY",15.99
Monofasico,30049069,"MAQUIAGEM INF LITLE BEAUTY",15.99
Monofasico,30049079,"MELOXICAM INJ 1,5ML UND",10.0
Monofasico,30043999,"BETAMETASONA+FOSF DISSODICO DE BETAMETASONA",20.0
Monofasico,30049067,"ENALAPRIL 20MG GEN 30 CPR-BEF",30.0
Monofasico,30049029,"SAL DE FRUTA ENO LARANJA 100GR",29.22
Monofasico,30049069,"LIXA BANANA DECORADA NALL SUNSHINE",7.99
Monofasico,33043000,"ESM DAILUS MEIA DE SEDA 8ML",7.99
Monofasico,30049069,"FENOBARBITAL 100MG C/30",23.44
Monofasico,30049039,"NORTRIPTIL RAN 25MG 30CP C1",38.41
Monofasico,33043000,"ATLANTA ESMALTE GLITTER HITS 8ML * (LOTE: 1298)",6.99
Monofasico,30049069,"GLOSS BIGMOUTH 4ML",17.99
Monofasico,33043000,"ESM IMPALA A COR DA MODA IV NOVOS 7,5ML",4.99
Monofasico,33043000,"ESMALTE VULT CEREJA FLOR 8ML",7.99
Monofasico,33043000,"ESMAL RISQUE GRAO DE ARROZ",5.49
Monofasico,33043000,"ESM RISQUE CL 8ML PEROLA CINT",5.49
Monofasico,33059000,"TINT SOFT COLOR 20",30.0
Monofasico,30049029,"BUPROVIL 600 MG C/20 CPM",9.99
Monofasico,30049079,"NIMESULIDA 100MG C 12 CPO",5.0
Monofasico,30049099,"VICK VAPORUB DISP 24X12G-OUTROS",18.7
Monofasico,30049069,"CRYSTAL BEAD AUTOMATICALLY",2.99
Monofasico,30042052,"CEFALEXINA 500 MG 1 BL X 10 CPR",54.0
Monofasico,33079000,"SORO FISIOLOGICO",5.99
Monofasico,30049099,"SAL AMARGO 30G",3.99
Monofasico,30049069,"BASE LIQ MATTE BELLE ANGEL",24.99
Monofasico,30042052,"CEFALEXINA 500 MG 1 BL X 10 CPR",18.0
Monofasico,30044990,"BUSCOPAN COMPOSTO GOTAS 20ML",23.36
Monofasico,30049029,"NAPROXENO SODICO 550MG 10CPR. REV. GEN.",20.0
Monofasico,33043000,"REMOV. ESM FARMAX 100ML VIT E",5.49
Monofasico,33059000,"COND SEDA COLAGENO/VITC C 325ML",14.99
Monofasico,30049059,"ESCITALOPRAM (C1) 10MG C 30 CP",20.0
Monofasico,33041000,"BRILHO LABIAL INF.",9.99
Monofasico,30049069,"PANTOPRAZOL 40MG C 60 CP",28.52
Monofasico,30049039,"DORFLEX 24CP",16.740000000000002
Monofasico,30049069,"MAXALGINA GTS FR C/ 20 ML (-)",4.74
Monofasico,30049029,"IBUPROFENO 100MG/ML GTS FRS. 20ML",12.0
Monofasico,30049069,"BETAISTINA DICLORIDRATO 24MG",23.4
Monofasico,30043999,"DEXAMETASONA 4MG C/ 10MG",13.0
Monofasico,30049069,"SAND BRANCA VIZZANO SALTO ALTO 37",150.0
Monofasico,30049039,"DEGEN 15000UI C/4 CAPS BIOLAB",105.0
Monofasico,30049079,"ROSUVASTATINA CAL 20MG CPR 30CP",27.0
Monofasico,30049039,"AMBROXOL XPE AD SAB MENTA 100ML NATIVITA",15.0
Monofasico,30039079,"LORATAMED XPE C/ 100 ML",17.0
Monofasico,30049069,"STUGERON 75MG CPR 1X30-ETICO",36.25
Monofasico,33059000,"DESCOLOR. PO CARE LISS C/PROT.SOJA 50GR",5.99
Monofasico,33059000,"AGUA OXIGENADA CREMOSA V 30",2.99
Monofasico,30049099,"BIOTONICO FONTOURA N 400ML-NOVO",46.83
Monofasico,30049039,"AERODINI SPRAY 200 DS SALBUTAMOL TEU.",35.0
Monofasico,30049069,"ALERADINA 0,5MG/ML XPE 60ML",23.4
Monofasico,33059000,"TIN COR&TON 6.6646",17.99
Monofasico,30049029,"SONRISAL ENC C/2 COMP",2.79
Monofasico,30049077,"CETOCONAZOL 200 MG C/ 30 CPR GENERICO",32.0
Monofasico,30049066,"GYNOTRAN 7 OV",119.11
Monofasico,33043000,"ESM RISQUE GEL VERMELHO CEREJA 9,5 ML",11.99
Monofasico,30049045,"PARACETAMOL 750MG 20CPR BLF",10.0
Monofasico,30049062,"KAOSEC 2 MG C/4 COMP",2.0
Monofasico,30049099,"REPOFLOR 200MG 6CPS. (SACCHAROMYCES CEREVISAE)",40.0
Monofasico,33059000,"CR SKALA 1000G AMIDINHO DE MILHO KIDS COND(E)*",12.79
Monofasico,30049099,"REPOFLOR 200MG 6CPS. (SACCHAROMYCES CEREVISAE)",35.29
Monofasico,30049099,"SIMETICONA 40MG",9.27
Monofasico,30049069,"OMEPRAZOL 20MG CAPS C/56 TEUTO",20.0
Monofasico,30049029,"SONRISAL ENC C/2 COMP",2.79
Monofasico,30042051,"BESILATO ANLODIPINO 5MG C/30 CPR TEUTO",8.0
Monofasico,30049099,"HIDROCLOROTIAZIDA 25 MG C/ 30 CPR NEO QUIMICA",3.0
Monofasico,30049079,"NIMESULIDA 100M C/12",10.0
Monofasico,30049049,"KEPPRA 250MG",132.0
Monofasico,30049069,"CLARIL OFT 15ML",21.5
Monofasico,30049069,"BETAISTINA 24MG 30CP BIO",26.0
Monofasico,33072090,"ESFOLIANTE LABOTRAT MELAN/ROSA MOSQ 150G",25.99
Monofasico,30049069,"CLONAZEPAN (B1) 2MG C 60 CP",80.0
Monofasico,30049064,"ALPRAZOLAM 2MG C/30",48.0
Monofasico,30049064,"ALPRAZOLAM 2MG C/30",48.0
Monofasico,30049069,"KIT LOSARTANA C 3 UNID",20.0
Monofasico,30033939,"DIAD 1,5 MG C 1 CP",10.0
Monofasico,33059000,"KIT SH 300ML+ COND.200ML#TODECACHO K.MEL 1X500ML",32.99
Monofasico,30049069,"KIT ESPONJA POWDWE PUFF",15.99
Monofasico,30049079,"INDAPAMIDA 1,5MG C/30 COMP GEN",20.0
Monofasico,30049069,"NEOSALDINA C/ 4 CP",8.0
Monofasico,30049029,"BUPROVIL 600 MG C/20 CPM",9.99
Monofasico,30044990,"DORFLEX ENV. C/ 10 CRP",7.6
Monofasico,33043000,"Esm.Impala Cor da Moda Transp.Leve e Sua..7,5ml",4.99
Monofasico,30049067,"SILDENAFILA 50MG COMP.C/04 N.Q GENERICO",10.0
Monofasico,30049045,"BROMOPRIDA 10 MG C/ 20 LEGRAND",14.5
Monofasico,30049099,"CARVEROL 250NG C/20CPR UNIAO QUIM. BIOMACRO",43.5
Monofasico,30049099,"TANDRILAX CX C15",18.45
Monofasico,30043939,"FORMULA",34.0
Monofasico,30049029,"SPIDUFEN 600MG C/10 SACHES",52.7
Monofasico,30049062,"TORAGESIC SL 10MG C/10",49.39
Monofasico,30049099,"AGUA BORICADA C.G 100ML C/12 FARMAX",2.99
Monofasico,30043939,"DICLIN 21 DRG",24.49
Monofasico,34011190,"TOALHA UMED BEBE LIMPINHO140UN",12.01
Monofasico,34011190,"TOALHINHAS UMED PIQUITUCHO 20CMX12CM C 40 UN",5.99
Monofasico,30044990,"BELSPANCOMPOSTOCPCXC20",18.83
Monofasico,30042069,"OTOSYLASE COLI",16.0
Monofasico,30049065,"HIDANTAL 100MG 25CPR",31.3
Monofasico,30049069,"TEGRETOL 200MG C/60 COMP C1",93.23
Monofasico,30049039,"SERTRALINA 50MG C 30 CP",27.0
Monofasico,30049069,"TRIMETAZIDINA 35MG 30CP EUR-GENERICO",60.0
Monofasico,30049069,"MIRTAZAPINA ODT 30 MG C 30 CP",70.0
Monofasico,30049079,"CLOPIDOGREL RAN 75MG 28CP",30.0
Monofasico,30049059,"ISOSSORBIDA 20MG C/ 30 CP",12.96
Monofasico,30049069,"LABIRIN 24MG",55.0
Monofasico,30049079,"NIMESULIDA 100MG C 12 CPO",5.0
Monofasico,30049045,"RESFEDRYL C/20 (PARAC+ASSOC) CIENCE",15.0
Monofasico,33059000,"TINT. COR&TON 3.0 TAG",17.99
Monofasico,30049039,"PREGABALINA 75 MG CAPS BL X 30",30.0
Monofasico,30049039,"KIT NIMESULIDA 100MG C/ 3 UNID",10.0
Monofasico,30044990,"GINKOMED 80 MG C/ 30 CP",32.0
Monofasico,30049069,"QUETIAPINA 50MG C 30CP",200.0
Monofasico,30049069,"CLO 25 C/30CP",113.42
Monofasico,33059000,"CR PENT S LINE 1000G SOS CACHOS ARGININA(E)*",43.99
Monofasico,30049069,"KIT FLOR E ESPONJA",59.98
Monofasico,30049079,"ROSUVASTATINA CAL 20MG CPR 30CP",30.0
Monofasico,30049024,"ASPIRINA PREVENT CPR 1X30-ETICO",24.34
Monofasico,30049069,"OMEPRAZOL 20MG CAPS C/56 TEUTO",18.0
Monofasico,33043000,"ESM IMPALA CL 7,5ML DESCOMPLICADO*(E)*",4.99
Monofasico,30049069,"DIPIRONA 500MG 10CP",4.0
Monofasico,30049043,"LIDOCAINA 50MG POM 25G EMS-",18.0
Monofasico,30049039,"BISOPROLOL 1,25MG C/30 CPR REV",32.0
Monofasico,30049069,"ROSUVASTATINA CALCICA 40MG GEN 30 CPR REV-ALT",88.0
Monofasico,30049099,"VENLAXIN 75MG C 30 CAPS C1",214.0
Monofasico,30049079,"MELOXICAM INJ 1,5ML UND",10.0
Monofasico,30043999,"BETAMETASONA+FOSF DISSODICO DE BETAMETASONA",20.0
Monofasico,33079000,"CERA QUENTE DEPILFLAX",22.99
Monofasico,30049064,"DIAZEPAM 10MG C/30",28.0
Monofasico,30049064,"ALPRAZOLAM GMD 1MG C/30 CP B1",30.0
Monofasico,30042099,"MAXINOM POM 3,5GR-ETICO",34.77
Monofasico,30049069,"ANADOR 500MG C/ 4",10.4
Monofasico,33072010,"DESOD AER REXONA ANTIT CLINICAL",21.99
Monofasico,30049069,"DORALGINA C/20CP (NQO)",15.0
Monofasico,34011190,"SAB. GRANAD GLICERINA 90G-OUTROS",8.99
Monofasico,33059000,"TINT BIOCOLOR PRETO 1.0",13.49
Monofasico,34011190,"SAB PROTEX PROPOLIS",8.98
Monofasico,33043000,"ESM IMPALA SONHO PEROLADO 7,5 ML",4.99
Monofasico,33043000,"ESM RISQE RENDA 8ML",5.49
Monofasico,33043000,"ESM IMPALA CUIDADOS ESPEC CL 7,5ML BASE FORCA EXT*",6.99
Monofasico,33043000,"ESM RISQUE GLITER ROSE 8ML",5.49
Monofasico,30049069,"ZINA 5MG CPR 1X10-ETICO",51.0
Monofasico,30049045,"RESFEDRYL C/5 COMP",4.0
Monofasico,30049039,"AC MEFENAMICO 500MG C24 BIO",20.0
Monofasico,30043999,"DEXAMETASONA 4MG C/ 10MG",13.0
Monofasico,30049039,"AERODINI SPRAY 200 DS SALBUTAMOL TEU.",31.5
Monofasico,30043939,"FORMULA",82.0
Monofasico,30049039,"ENDCOFF (FLIB) MEL E LIMAO C/12 PST",22.16
Monofasico,30045090,"BENEGRIP",12.84
Monofasico,30049045,"RESFEDRYL C/20 (PARAC+ASSOC) CIENCE",15.0
Monofasico,30049079,"NIMESULIDA 100MG C 12 CPO",5.0
Monofasico,30049029,"DIPIRONA MONOIDRATADA 1G 10 COMPR VITAMEDIC",10.0
Monofasico,30049069,"CEFALIV C/12 COMP",20.0
Monofasico,30044990,"DORFLEX ENV. C/ 10 CRP",7.6
Monofasico,30043939,"FORMULA",32.0
Monofasico,30049029,"BUPROVIL 600 MG C/20 CPM",9.99
Monofasico,30044990,"DORFLEX ENV. C/ 10 CRP",7.61
Monofasico,30049079,"OLMESARTANA 40MG C/30CP",40.0
Monofasico,30049049,"GLIFAGE XR 850MG C 30",41.42
Monofasico,30049079,"TADALAFILA 20 MG X 4 CPR REV",10.0
Monofasico,33051000,"SH SEDA BOMBA DE COCO",12.99
Monofasico,30049039,"AEROLIN SPRAY C/200 DOSES POS.",24.209999999999997
